AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
M,Manhattan,11/06/2014,11/23/2019,40.732509,-73.98935
M,Manhattan,11/06/2014,09/21/2016,40.739022,-73.98205
M,Staten Island,11/06/2014,09/27/2019,40.606337,-74.14513
F,Staten Island,11/06/2014,01/10/2016,40.631127,-74.13715
F,Manhattan,11/06/2014,11/06/2019,40.727093,-73.97864
M,Manhattan,11/07/2014,11/07/2019,40.786387,-73.97709
M,Manhattan,11/07/2014,11/07/2016,40.727093,-73.97864
M,Manhattan,11/07/2014,11/07/2019,40.798502,-73.96811
M,Manhattan,11/07/2014,11/07/2019,40.798502,-73.96811
M,Manhattan,11/07/2014,01/10/2016,40.848764,-73.93496
F,Manhattan,11/07/2014,11/01/2017,40.741012,-74.00012
F,Manhattan,11/07/2014,02/15/2019,40.741012,-74.00012
M,Manhattan,11/07/2014,09/27/2019,40.741012,-74.00012
F,Manhattan,11/07/2014,11/07/2019,40.74618,-73.97759
M,Manhattan,11/07/2014,11/07/2016,40.72596,-73.99834
M,Manhattan,11/08/2014,11/08/2019,40.741012,-74.00012
F,Manhattan,11/08/2014,11/08/2016,40.840686,-73.94154
F,Manhattan,11/08/2014,11/08/2019,40.759511,-73.99019
M,Manhattan,11/08/2014,11/08/2017,40.867653,-73.92
M,Manhattan,11/09/2014,10/28/2016,40.765714,-73.9856
M,Staten Island,11/09/2014,11/09/2017,40.606337,-74.14513
M,Manhattan,11/09/2014,11/16/2016,40.732509,-73.98935
F,Manhattan,11/09/2014,11/09/2016,40.776777,-73.9541
M,Bronx,11/09/2014,11/09/2016,40.819729,-73.9223
F,Manhattan,11/10/2014,01/14/2016,40.755101,-73.99337
M,Manhattan,11/10/2014,11/06/2016,40.781894,-73.95039
F,Manhattan,11/10/2014,11/10/2016,40.759015,-73.96732
M,Manhattan,11/10/2014,11/10/2019,40.759015,-73.96732
F,Staten Island,11/10/2014,11/10/2017,40.631775,-74.09432
F,Staten Island,11/11/2014,01/18/2016,40.606337,-74.14513
M,Manhattan,11/11/2014,11/11/2016,40.706019,-74.00858
M,Manhattan,11/11/2014,11/11/2019,40.798502,-73.96811
F,Manhattan,11/12/2014,11/12/2017,40.741012,-74.00012
M,Manhattan,11/12/2014,12/16/2016,40.741012,-74.00012
F,Manhattan,11/12/2014,11/12/2017,40.759015,-73.96732
M,Staten Island,11/12/2014,11/12/2019,40.508274,-74.24387
F,Manhattan,11/12/2014,10/23/2017,40.759511,-73.99019
F,Manhattan,11/13/2014,11/15/2017,40.791586,-73.94575
M,Manhattan,11/13/2014,11/13/2016,40.776777,-73.9541
F,Manhattan,11/13/2014,02/14/2019,40.776777,-73.9541
F,Manhattan,11/14/2014,11/14/2019,40.786387,-73.97709
M,Manhattan,11/14/2014,11/14/2019,40.759015,-73.96732
F,Manhattan,11/14/2014,11/14/2018,40.739022,-73.98205
M,Manhattan,11/14/2014,11/14/2017,40.786387,-73.97709
M,Manhattan,11/14/2014,09/26/2019,40.759015,-73.96732
F,Manhattan,11/14/2014,04/20/2019,40.781894,-73.95039
M,Manhattan,11/14/2014,12/31/2017,40.759015,-73.96732
